establishment_id,name_of_restaurant,province,city/municipality,address,opening_hours,closing_hours,cuisine_type,dine-in,takeout,delivery,average_price_range,rating,contact_information,coordination,description,image,category,Category_Encoded
1,Kabsat,La Union,San Juan,"M87G+453, San Juan, La Union",08:00:00 AM,11:00:00 PM,Filipino Food,Yes,Yes,No,500,4.1,9175565116.0,"16.663040276217618, 120.32543476174504","A spacious restaurant offering Filipino comfort dishes like pinakbet, kaldereta, and grilled tuna, complemented by signature cocktails and local craft beers.ÃÂ ",https://scontent.fmnl5-2.fna.fbcdn.net/v/t39.30808-6/327352109_920175305820158_2199799561123353068_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=cc71e4&_nc_eui2=AeFyPJfdZfRsr1AaFsPsypMxOeY7okPojpc55juiQ-iOl2cZ9pJ6uQ1VMGZH6sKuXOwBmsumkPpVFJwbuDT8su-7&_nc_ohc=KJq9SY13iEwQ7kNvgE7jozu&_nc_zt=23&_nc_ht=scontent.fmnl5-2.fna&_nc_gid=AVzFC3uzwnXORZ2eGgX-umr&oh=00_AYC8ohcGaxuInDUoRAzOTkYl_5P87QgwToSKS16p4hh-Qw&oe=679A66EE,Moderate,1
2,Kermit,La Union,San Juan,"M85C+WX3, 183 2, 183 MacArthur Hwy, San Juan, La Union",12:00:00 PM,11:00:00 PM,Italian Food,Yes,Yes,Yes,600,4.1,9605082561.0,"16.659906616496382, 120.32198985577435","Known for its wood-fired pizzas, seafood pasta, and grilled pork belly, Kermit provides a laid-back atmosphere with both indoor and outdoor seating.ÃÂ ",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi6vL8xA1YsqraMZwknHVZKBe9PMZ-nMB9mdoIGtfgJXXckVuskxj2N6m_QNL-TYoX4fwGEjZA7EJgdKXg_awcrzaSeq2L8NDTkaY-TrUiEQpLB8rAzvqUzvKQMqvUSksHgQ7pRxxQLPJcY-aXp7L26K9G8fQplOwX8c2zvVWnk85sCxkiVnA/s16000/Kermit-La-Union-3.jpg,Moderate,1
3,Tagpuan sa San Juan,La Union,San Juan,"229 Urbiztondo Rd, San Juan, La Union",09:00:00 AM,12:00:00 AM,Filipino Food,Yes,Yes,Yes,200,4.1,9566617996.0,"16.656588206019197, 120.32147437310371","Specializes in Filipino rice bowls topped with favorites like tapa, pares, and chicken adobo flakes, offering a taste of local flavors.ÃÂ ",https://live.staticflickr.com/897/26475516107_2435b96d96_b.jpg,Budget-Friendly,0
4,Gefseis Greek Grill,La Union,San Juan,"Urbiztondo Beach Urbiztondo, San Juan, 2514 La Union",10:00:00 AM,09:30:00 PM,Greek Food,Yes,Yes,No,600,4.1,727007007.0,"16.65654508476604, 120.32035715574607","Offers Greek cuisine with dishes such as lamb souvlaki, lamb chops, and kebab rice meals, providing a taste of Greece in La Union.",https://scontent.fmnl5-2.fna.fbcdn.net/v/t39.30808-6/261352511_4029555487144176_7956353720948263845_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=cc71e4&_nc_eui2=AeGOrHQrb1fMH37lb5ErFqdYopxkz9bNycKinGTP1s3JwgRSWIaqNn-F14rc7zzRqij2iTENMs41vVPS7Iv-4b07&_nc_ohc=HqBHTxLK3s0Q7kNvgH1zqA3&_nc_zt=23&_nc_ht=scontent.fmnl5-2.fna&_nc_gid=Az4ZH6m27xFVLispFKF1xOU&oh=00_AYDsLtUIUker5fCyC-0-2OQ2UIu-_f-y3dnmxr8qprkkHg&oe=679A6029,Moderate,1
5,Mad Monkeys Burger Lab,La Union,San Juan,"M84C+HG2, Brgy. Urbiztondo, Manila, North Road, San Juan, La Union",11:00:00 AM,08:00:00 PM,American Food,Yes,Yes,No,400,4.2,9563915561.0,"16.65656715530007, 120.32123664230181","A popular spot for burgers, known for its juicy and flavorful offerings, making it a must-visit for burger enthusiasts.",https://scontent.fmnl5-2.fna.fbcdn.net/v/t39.30808-6/277777197_354278576715649_241076775795156848_n.png?_nc_cat=109&ccb=1-7&_nc_sid=6ee11a&_nc_eui2=AeGWxtiQ1JAiC9SI8eKQcCFppfW9JVpKabel9b0lWkpptzkav5Afbk-p0YcvflFu7fG2omkRj02GY9jmDIZyG9jk&_nc_ohc=r_6A-QO_YWIQ7kNvgEEkiQu&_nc_zt=23&_nc_ht=scontent.fmnl5-2.fna&_nc_gid=AINY1XaVfVyf8t7XmR037pC&oh=00_AYCg135cySiJPlzZWTy72-VX4b60R3uEndmDLQD2r3qFDw&oe=679A50CB,Moderate,1
6,Fatwave Restaurant,La Union,San Juan,"San Juan, 2514 La Union",08:00:00 AM,11:00:00 PM,Filipino Food,Yes,Yes,No,400,4.0,,"16.657833089866024, 120.32111459999932","Situated by the sea, Fatwave serves dishes like grilled mahi-mahi, sinigang na hipon, and adobong pusit, emphasizing fresh seafood.",https://cdn.prod.website-files.com/6274a1710487d300c4a2792a/66257bc6561a48a0770b9669_353819560.jpg,Moderate,1
7,El Union Coffee,La Union,San Juan,"M85C+VVW, MacArthur National Highway, San Juan, La Union",08:00:00 AM,03:00:00 PM,Coffeehouse ,Yes,Yes,No,400,4.4,9454834825.0,"16.659952993935317, 120.3223159557312","A hip cafÃÂ© known for its farm-to-cup coffee made from high-grade specialty beans, paired with sweet treats like their signature Indoor SÃÂmores.",https://scontent.fmnl5-2.fna.fbcdn.net/v/t39.30808-6/469365831_850213050652357_2834086386322719746_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeHs-Btlt5VD0qbPY9hmde5fC0QGJuLQKWILRAYm4tApYpl3KHQeM_x_GjF-19s2-BcuNMqM7OzZh6qojqf_CZb5&_nc_ohc=xtWZ8-GLmzUQ7kNvgEOZoQ2&_nc_zt=23&_nc_ht=scontent.fmnl5-2.fna&_nc_gid=Amo9TZdiLrhHHLhGqnlkvvu&oh=00_AYA_4V1V5Pc1yY8aZu8Sne6EOzFUKVyL7eCfBSU2j_1NKA&oe=679A3EE4,Moderate,1
8,R Buffet,La Union,San Fernando,"5 Biday Bridge, San Fernando, 2500 La Union",08:00:00 AM,10:00:00 PM,Buffet,Yes,Yes,No,500,4.0,728880233.0,"16.62818678284197, 120.32337811687559","A buffet-style restaurant offering a wide variety of Filipino, Asian, and international dishes, perfect for large gatherings and celebrations.",https://scontent.fmnl5-2.fna.fbcdn.net/v/t39.30808-6/305621781_471065531704950_2627177398972011172_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=6ee11a&_nc_eui2=AeHlYi4RrWD-dbzCkhBvXXe_nnJcppn0D5-eclymmfQPn0TgIsTX8UiA0K1UaIexu_1LL-b_BLP2FL8xFriJDB5H&_nc_ohc=YBcuEvq3RH8Q7kNvgHnc9hW&_nc_zt=23&_nc_ht=scontent.fmnl5-2.fna&_nc_gid=A5O6k7xo0R-7NU1RsJ9JthY&oh=00_AYAkX-BmoRjoui_sCj6n0kxmOC3bK69exTdLrnU1_exRbw&oe=679A6226,Moderate,1
9,Kambingan sa Joannas,La Union,San Fernando,"004 P. Tavera St, San Fernando, La Union",10:00:00 AM,03:00:00 PM,Filipino Food,Yes,Yes,Yes,450,5.0,726822589.0,"16.61680240831751, 120.31850241618292","Specializing in goat dishes like caldereta and papaitan, this is a go-to place for authentic Filipino flavors.","https://www.google.com/maps/place/Joanna's+Kambingan/@16.6166026,120.3183746,3a,84.6y,90t/data=!3m8!1e2!3m6!1sAF1QipP2evhOZ3KXvrSNjgYp4aJsOYHAQr8GdVZw7PAa!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP2evhOZ3KXvrSNjgYp4aJsOYHAQr8GdVZw7PAa%3Dw152-h86-k-no!7i960!8i540!4m7!3m6!1s0x33918e4a5cb7a333:0xaf040d56dcd9b3be!8m2!3d16.6165557!4d120.3185346!10e5!16s%2Fg%2F11g8kqth8c?entry=ttu&g_ep=EgoyMDI1MDEyMS4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
10,Virgie's and Francis Canteen,La Union,San Fernando,"Copperleaf Street Capitol View Subdivision, San Fernando, 2500 La Union",01:00:00 PM,11:00:00 PM,Filipino Food,Yes,Yes,No,150,4.4,9275829051.0,"16.605570096780554, 120.30479687343436","A canteen-style restaurant offering affordable and home-cooked Filipino meals, perfect for a quick and satisfying bite.",https://scontent.fmnl5-2.fna.fbcdn.net/v/t39.30808-6/374585616_806019408220233_8988656864270168597_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=6ee11a&_nc_eui2=AeGy_KXYfZt3Uz38oXWEehws2zwVo26nU93bPBWjbqdT3eLQJaAtixkITr5TFxkAt7-p6m62lmC_0hXmsY-tQo7S&_nc_ohc=kIT3cUNAM9UQ7kNvgHY2jnX&_nc_zt=23&_nc_ht=scontent.fmnl5-2.fna&_nc_gid=A-soBUXwtIGl8gHnFkqrxzy&oh=00_AYDeJSUcsNs90X5yT90TpG1s2toLtyui3nQ9iDFFQOdl3A&oe=679A40F1,Budget-Friendly,0
